followers,track_id,artist_popularity,artist_id,album_id,duration_ms,album_name,name,duration_sec,track_name,track_popularity,label,release_date,album_popularity,genre
63,4MHVmqY4hehHrW77s07Ecx,0,6RkdbmFw5VwIBPB1c12WeM,3Egwj9mdJ5EvRH2zwgtMON,141193,Rock A Pee Jay!,John Turkey's Nightmares,141.193,"""Roomies"" Theme Song",0,John Turkey's Nightmares,2020-11-21 00:00:00 UTC,0,
1024,3AYeKrtLFs2Bt8PSLDhc0X,10,5KnwRT2DBhnhcFITR343IR,6clXoN3Uuz6z0cE6fh4BTr,132558,Slang,Megan,132.558,Grabsteine,1,iGrooveNext.com,2017-11-17 00:00:00 UTC,3,schweizer rap
2316620,1x8Gg8Y9NHE6k93jZX7wpc,0,0LyfQWJT6nXafLPZqxe9Of,6T1s0s6zbt62UDbfVZKzlB,136523,Action Hero,Various Artists,136.523,Action Hero,0,KPM Main Series,2016-12-23 00:00:00 UTC,2,
84,5Vo4NTh8YlNvD3VkH7KOJT,28,6AaNOdm4yjzgyk87GkM38o,0wJSVsBDIL7tvxOeYpr0G3,173424,Agent 004,Prince Dre the President,173.424,Twins,1,Royal-Tee Records,2022-03-01 00:00:00 UTC,2,
278935,5I8qsxCRR1vdm6Rv1EvKpT,49,0tJDMMp9vT1q6zrPih0yFQ,0YEU0pTqI6vcWHJ6EgBbaY,232097,Dispuesto A Todo,Luis Miguel Del Amargue,232.097,Te Vine A Buscar,7,Luis Miguel Del Amargue,2016-11-10 00:00:00 UTC,46,bachata
4,26cbbkot5qVdaV9EMt1NmU,0,76OSJ9RIyJR0ynBKmIx3vU,2vNySgAHBetBieT9JKssHC,2990471,La Caida De La Casa Usher,Charlando entre amigos,2990.471,La Caida De La Casa Usher,0,5285798 Records DK,2023-05-29 00:00:00 UTC,0,
439907,5RFs5btPTYuuIjjauMdRpB,58,2IRfUbSEqoOzedNHXVD1Xb,1VsqXzb0yyGFdPgl9VeOEi,136568,20 Exitos De Coleccion,Carlos Y Jose,136.568,Y Andale,28,AJR Discos,2010-09-30 00:00:00 UTC,46,musica neoleonesa
49,3ojKe0g7OpnwR2jTX3jGmq,3,4fQBxT89sCLJ0lqCYs9K09,4rkAdgoEPDPZZEj1nIk8zF,183017,Cross Fire [An Exo Novel (Unabridged)],Fonda Lee,183.017,Chapter 9 - Cross Fire - An Exo Novel,0,Scholastic Audio,2018-05-29 00:00:00 UTC,8,
2316620,53YCFavZAPfDBKHEk0XEK7,0,0LyfQWJT6nXafLPZqxe9Of,7CYJK8CzZkJ25tVjVtH6jq,194782,"Spiritual Chills: Chillage Healing Music For Positive Mindset, Excercise, Yoga, Experience Soothing Breeze Of Total Relax With Sound Of Nature",Various Artists,194.782,Grounding Tree,0,Feelosophy Entertainment Ltd.,2022-06-23 00:00:00 UTC,1,
3066,0RaC1PlZZ9qxqMSPcsm2p3,47,4lrOh2SR7H3guHky2lAYOk,0exCouc7eQDhcoLsT47NlS,114000,50 Meditation And Healing Rain Sounds,Mother Nature Sound FX,114,Tweeting Birds,0,Sami Springs,2023-07-07 00:00:00 UTC,0,environmental
